video_id,video_title,upload_date,view_count,like_count,comment_count
7Ilmc0KY03w,[KPOP IN PUBLIC - ONE TAKE] MCND - &#39;#MOOD&#39; | Full Dance Cover by HUSH BOSTON,2022-07-28,1411,248,13
-fckR1z7jMY,[KPOP IN PUBLIC - ONE TAKE] GOT7 - &#39;NANANA&#39; | Full Dance Cover by HUSH BOSTON,2022-07-27,998,121,15
mbjcFH1sidY,[KPOP IN PUBLIC - ONE TAKE] ITZY “SNEAKERS” | Cover by HUSH BOSTON,2022-07-24,3144,325,14
cvrHAy7cWY8,[KPOP IN PUBLIC] ENHYPEN (엔하이픈) - &#39;Future Perfect (Pass the MIC)&#39; | Full Dance Cover by HUSH BOSTON,2022-07-22,2872,250,13
0qsku6oj5Bk,[KPOP IN PUBLIC] KPOPMEGAREMIX / 무야호 / MOODDOK CHOREOGRAPHY | Full Dance Cover by HUSH BOSTON,2022-07-21,7962,829,18
